Datetime,TAVG
6/29/2015,68
6/30/2015,69
7/1/2015,69
7/2/2015,71
7/3/2015,71
7/4/2015,72
7/5/2015,73
7/6/2015,72
7/7/2015,76
7/8/2015,69
7/9/2015,74
7/10/2015,70
7/11/2015,70
7/12/2015,75
7/13/2015,74
7/14/2015,76
7/15/2015,73
7/16/2015,72
7/17/2015,78
7/18/2015,78
7/19/2015,80
7/20/2015,78
7/21/2015,78
7/22/2015,73
7/23/2015,73
7/24/2015,75
7/25/2015,75
7/26/2015,77
7/27/2015,78
7/28/2015,82
7/29/2015,80
7/30/2015,77
7/31/2015,76
8/1/2015,75
8/2/2015,74
8/3/2015,74
8/4/2015,74
8/5/2015,75
8/6/2015,70
8/7/2015,70
8/8/2015,74
8/9/2015,75
8/10/2015,78
8/11/2015,74
8/12/2015,71
8/13/2015,70
8/14/2015,73
8/15/2015,72
8/16/2015,75
8/17/2015,76
8/18/2015,75
8/19/2015,75
8/20/2015,71
8/21/2015,68
8/22/2015,70
8/23/2015,74
8/24/2015,70
8/25/2015,64
8/26/2015,67
8/27/2015,68
8/28/2015,68
8/29/2015,73
8/30/2015,74
8/31/2015,76
9/1/2015,77
9/2/2015,77
9/3/2015,79
9/4/2015,79
9/5/2015,76
9/6/2015,77
9/7/2015,79
9/8/2015,79
9/9/2015,73
9/10/2015,74
9/11/2015,69
9/12/2015,60
9/13/2015,59
9/14/2015,60
9/15/2015,65
9/16/2015,69
9/17/2015,69
9/18/2015,69
9/19/2015,71
9/20/2015,64
9/21/2015,65
9/22/2015,66
9/23/2015,70
9/24/2015,71
9/25/2015,69
9/26/2015,66
9/27/2015,69
9/28/2015,72
9/29/2015,71
9/30/2015,63
10/1/2015,58
10/2/2015,56
10/3/2015,48
10/4/2015,60
10/5/2015,67
10/6/2015,67
10/7/2015,67
10/8/2015,69
10/9/2015,67
10/10/2015,59
10/11/2015,55
10/12/2015,61
10/13/2015,60
10/14/2015,54
10/15/2015,53
10/16/2015,57
10/17/2015,46
10/18/2015,43
10/19/2015,47
10/20/2015,56
10/21/2015,58
10/22/2015,65
10/23/2015,66
10/24/2015,65
10/25/2015,58
10/26/2015,54
10/27/2015,54
10/28/2015,59
10/29/2015,52
10/30/2015,47
10/31/2015,48
11/1/2015,58
11/2/2015,56
11/3/2015,58
11/4/2015,63
11/5/2015,66
11/6/2015,66
11/7/2015,51
11/8/2015,46
11/9/2015,45
11/10/2015,47
11/11/2015,45
11/12/2015,53
11/13/2015,47
11/14/2015,40
11/15/2015,49
11/16/2015,48
11/17/2015,53
11/18/2015,60
11/19/2015,54
11/20/2015,42
11/21/2015,42
11/22/2015,32
11/23/2015,32
11/24/2015,41
11/25/2015,47
11/26/2015,52
11/27/2015,57
11/28/2015,52
11/29/2015,42
11/30/2015,42
12/1/2015,50
12/2/2015,41
12/3/2015,35
12/4/2015,30
12/5/2015,33
12/6/2015,38
12/7/2015,44
12/8/2015,45
12/9/2015,47
12/10/2015,47
12/11/2015,55
